Region,Altitude,Mois,Saison,SOC,Clay,Nitrogen,CEC,Temp,Hum,pH,Lux,CE,Crop
Vakinankaratra,1510.0,5,1,36.1,33.3,28.2,15.2,16.1,78.3,5.7,24835.0,1065.0,Pomme_de_Terre
Itasy,1682.0,4,0,28.4,33.2,25.5,14.3,23.6,77.0,5.6,26365.0,842.0,Fraise
Vakinankaratra,1256.0,8,1,36.1,33.3,28.2,15.2,25.6,67.3,6.4,59049.0,1019.0,Oignon
Atsimo-Andrefana,124.0,7,1,25.3,27.9,10.9,14.1,28.6,36.7,7.4,40253.0,778.0,Sorgho_CS
Menabe,92.0,6,1,23.9,28.2,16.9,14.4,29.3,53.3,6.9,56584.0,551.0,Pois_du_Cap
Bongolava,1027.0,1,0,24.5,32.2,18.9,13.2,16.8,45.9,6.1,58514.0,565.0,Arachide
Itasy,1558.0,5,1,28.4,33.2,25.5,14.3,15.8,52.0,7.0,33907.0,698.0,Haricot_CS
Boeny,147.0,12,0,28.2,24.7,21.7,15.4,34.5,66.2,5.9,54516.0,875.0,Mangue
Atsinanana,179.0,11,0,60.7,39.8,32.2,16.4,30.9,75.8,6.0,42921.0,1148.0,Banane
Atsimo-Andrefana,27.0,7,1,25.3,27.9,10.9,14.1,28.9,49.5,6.9,64149.0,756.0,Pois_du_Cap
Diana,361.0,2,0,30.8,26.1,20.5,24.4,27.9,63.3,7.1,60370.0,698.0,Orange
Vakinankaratra,1420.0,6,1,36.1,33.3,28.2,15.2,20.9,74.9,6.5,36697.0,649.0,Pomme
Boeny,298.0,12,0,28.2,24.7,21.7,15.4,27.4,59.2,5.6,71435.0,1142.0,Mangue
SAVA,406.0,9,1,64.8,36.6,48.0,20.9,31.6,78.5,4.6,58093.0,1002.0,Ananas
Menabe,22.0,10,1,23.9,28.2,16.9,14.4,27.6,54.5,6.4,60376.0,575.0,Mangue
Anosy,344.0,7,1,19.2,22.4,16.0,15.2,32.6,29.2,6.2,60931.0,563.0,Sorgho_CS
Vakinankaratra,1441.0,6,1,36.1,33.3,28.2,15.2,16.2,65.1,6.5,51741.0,888.0,Haricot_CS
Boeny,286.0,7,1,28.2,24.7,21.7,15.4,22.4,83.6,5.8,52196.0,1453.0,Riz_Decrue
Itasy,1730.0,4,0,28.4,33.2,25.5,14.3,19.3,78.5,5.9,26686.0,543.0,Fraise
Menabe,173.0,5,1,23.9,28.2,16.9,14.4,25.6,49.8,6.7,55851.0,1231.0,Pois_du_Cap
Analamanga,1545.0,4,0,23.4,27.6,19.5,16.3,24.1,73.6,6.4,30090.0,631.0,Fraise
Betsiboka,349.0,12,0,27.9,23.7,28.2,10.9,22.3,77.1,6.2,62538.0,499.0,Riz_Plateau
SAVA,367.0,11,0,64.8,36.6,48.0,20.9,21.3,77.2,5.7,69638.0,484.0,Litchi
Itasy,1476.0,6,1,28.4,33.2,25.5,14.3,20.5,46.2,6.7,46646.0,369.0,Haricot_CS
Atsimo-Andrefana,280.0,5,1,25.3,27.9,10.9,14.1,21.9,59.3,6.7,46147.0,1043.0,Oignon
Analamanga,1217.0,12,0,23.4,27.6,19.5,16.3,24.2,66.0,6.2,53238.0,997.0,Riz_Plateau
Amoron'i Mania,1122.0,2,0,31.1,27.9,19.6,13.9,29.5,78.9,6.2,44726.0,576.0,Haricot
Vakinankaratra,1946.0,5,1,36.1,33.3,28.2,15.2,19.8,81.8,5.9,31709.0,671.0,Fraise
Vakinankaratra,1600.0,7,1,36.1,33.3,28.2,15.2,17.9,64.4,5.5,34944.0,740.0,Pomme
Haute Matsiatra,1388.0,11,0,24.1,24.9,18.2,12.7,23.6,71.1,6.0,52853.0,1046.0,Riz_Plateau
Anosy,157.0,2,0,19.2,22.4,16.0,15.2,24.9,72.4,6.9,50326.0,721.0,Haricot
Vakinankaratra,1472.0,5,1,36.1,33.3,28.2,15.2,20.3,72.2,6.4,27013.0,896.0,Fraise
Boeny,201.0,5,1,28.2,24.7,21.7,15.4,25.1,89.8,6.2,62037.0,832.0,Riz_Decrue
Vatovavy-Fitovinany,358.0,2,0,54.5,26.3,29.7,21.3,22.7,66.3,6.4,53557.0,695.0,Maïs
Betsiboka,301.0,6,1,27.9,23.7,28.2,10.9,27.7,91.5,5.5,50325.0,582.0,Riz_Decrue
Bongolava,1048.0,6,1,24.5,32.2,18.9,13.2,20.8,58.1,6.4,38012.0,920.0,Haricot_CS
Diana,20.0,1,0,30.8,26.1,20.5,24.4,24.1,78.1,5.6,49462.0,642.0,Riz_Plateau
Bongolava,1270.0,11,0,24.5,32.2,18.9,13.2,27.6,72.3,6.8,59465.0,1502.0,Maïs
Anosy,62.0,7,1,19.2,22.4,16.0,15.2,22.4,51.5,6.6,44666.0,529.0,Oignon
Alaotra-Mangoro,962.0,7,1,16.6,25.9,13.3,14.3,20.6,57.6,6.9,32391.0,489.0,Haricot_CS
Menabe,62.0,5,1,23.9,28.2,16.9,14.4,25.5,86.8,5.0,58991.0,1095.0,Riz_Decrue
Atsimo-Andrefana,231.0,6,1,25.3,27.9,10.9,14.1,21.5,41.6,6.9,63189.0,1448.0,Pois_du_Cap
Boeny,234.0,10,1,28.2,24.7,21.7,15.4,30.7,65.1,6.7,68201.0,1051.0,Mangue
Atsinanana,73.0,12,0,60.7,39.8,32.2,16.4,26.3,76.8,5.9,63744.0,483.0,Litchi
Analamanga,1453.0,6,1,23.4,27.6,19.5,16.3,19.6,83.7,6.3,45446.0,591.0,Fraise
Ihorombe,947.0,12,0,15.9,28.1,12.1,17.6,28.7,53.7,6.3,51933.0,1334.0,Sorgho
SAVA,259.0,9,1,64.8,36.6,48.0,20.9,30.7,80.4,5.1,64338.0,822.0,Ananas
Anosy,392.0,8,1,19.2,22.4,16.0,15.2,23.2,59.7,6.5,48007.0,583.0,Oignon
Vakinankaratra,1368.0,5,1,36.1,33.3,28.2,15.2,19.1,70.3,6.2,60095.0,1220.0,Tomate
Bongolava,1178.0,5,1,24.5,32.2,18.9,13.2,24.3,64.6,6.2,40746.0,763.0,Haricot_CS
Diana,448.0,6,1,30.8,26.1,20.5,24.4,24.1,55.7,7.0,49297.0,755.0,Oignon
Androy,236.0,7,1,14.8,24.7,10.9,22.8,22.4,40.5,6.8,60422.0,908.0,Sorgho_CS
Atsimo-Andrefana,272.0,5,1,25.3,27.9,10.9,14.1,26.5,48.8,7.4,58348.0,1495.0,Pois_du_Cap
Alaotra-Mangoro,972.0,6,1,16.6,25.9,13.3,14.3,24.4,87.6,6.5,47176.0,927.0,Riz_Decrue
Betsiboka,136.0,6,1,27.9,23.7,28.2,10.9,32.5,94.5,5.8,56884.0,575.0,Riz_Decrue
Haute Matsiatra,1295.0,12,0,24.1,24.9,18.2,12.7,26.4,61.5,6.1,41792.0,1482.0,Maïs
Boeny,246.0,5,1,28.2,24.7,21.7,15.4,29.7,90.2,5.1,36674.0,698.0,Riz_Decrue
Anosy,402.0,6,1,19.2,22.4,16.0,15.2,28.4,36.3,7.1,48885.0,1560.0,Sorgho_CS
Haute Matsiatra,1093.0,1,0,24.1,24.9,18.2,12.7,29.5,70.2,7.2,53536.0,739.0,Orange
Anosy,253.0,7,1,19.2,22.4,16.0,15.2,31.8,48.4,5.7,57378.0,919.0,Sorgho_CS
Boeny,227.0,11,0,28.2,24.7,21.7,15.4,28.9,58.7,6.3,50595.0,797.0,Mangue
Bongolava,1305.0,5,1,24.5,32.2,18.9,13.2,17.1,66.8,7.2,27223.0,349.0,Haricot_CS
Menabe,202.0,6,1,23.9,28.2,16.9,14.4,22.5,46.7,6.6,55354.0,1220.0,Pois_du_Cap
Bongolava,1200.0,10,1,24.5,32.2,18.9,13.2,23.7,80.7,5.5,50926.0,452.0,Ananas
Analanjirofo,171.0,11,0,54.8,35.0,29.5,18.5,30.9,88.1,6.6,43255.0,1043.0,Banane
Analamanga,1189.0,8,1,23.4,27.6,19.5,16.3,23.9,74.9,5.7,64101.0,1802.0,Tomate
Vakinankaratra,1976.0,4,0,36.1,33.3,28.2,15.2,21.0,72.8,6.1,50437.0,443.0,Fraise
Analamanga,1219.0,7,1,23.4,27.6,19.5,16.3,24.1,79.4,5.7,56884.0,984.0,Tomate
Atsinanana,114.0,11,0,60.7,39.8,32.2,16.4,25.8,77.5,6.4,57886.0,379.0,Litchi
Haute Matsiatra,1441.0,7,1,24.1,24.9,18.2,12.7,14.2,66.0,6.2,45661.0,788.0,Pomme_de_Terre
Analanjirofo,321.0,12,0,54.8,35.0,29.5,18.5,22.7,68.5,7.0,49414.0,579.0,Maïs
Boeny,291.0,11,0,28.2,24.7,21.7,15.4,24.3,57.3,5.7,60741.0,579.0,Mangue
Analanjirofo,265.0,11,0,54.8,35.0,29.5,18.5,28.8,76.7,6.4,46897.0,739.0,Litchi
Menabe,38.0,6,1,23.9,28.2,16.9,14.4,29.1,89.0,5.2,62433.0,966.0,Riz_Decrue
Alaotra-Mangoro,738.0,6,1,16.6,25.9,13.3,14.3,23.5,82.2,6.2,52573.0,997.0,Riz_Decrue
Amoron'i Mania,1363.0,6,1,31.1,27.9,19.6,13.9,19.8,76.0,6.5,41797.0,1106.0,Pomme_de_Terre
Atsimo-Atsinanana,246.0,12,0,49.2,29.9,29.9,18.8,22.8,87.3,6.0,54239.0,431.0,Riz_Bas_Fonds
Atsinanana,82.0,9,1,60.7,39.8,32.2,16.4,25.8,74.9,5.2,64975.0,855.0,Ananas
Menabe,352.0,12,0,23.9,28.2,16.9,14.4,26.4,78.8,6.0,51830.0,753.0,Riz_Plateau
Analamanga,1190.0,4,0,23.4,27.6,19.5,16.3,19.9,83.9,5.5,34903.0,554.0,Fraise
Atsimo-Andrefana,323.0,6,1,25.3,27.9,10.9,14.1,23.8,49.3,6.5,43042.0,1912.0,Pois_du_Cap
Melaky,98.0,11,0,26.0,23.7,21.3,15.3,21.7,85.2,5.3,46617.0,1016.0,Riz_Bas_Fonds
Diana,422.0,7,1,30.8,26.1,20.5,24.4,24.7,62.5,6.0,58369.0,516.0,Tomate
Analamanga,1371.0,7,1,23.4,27.6,19.5,16.3,25.8,60.2,6.2,48452.0,1212.0,Tomate
Atsinanana,271.0,12,0,60.7,39.8,32.2,16.4,22.4,77.5,6.2,54307.0,671.0,Litchi
Itasy,1479.0,5,1,28.4,33.2,25.5,14.3,22.9,74.8,5.7,42364.0,785.0,Fraise
Melaky,268.0,12,0,26.0,23.7,21.3,15.3,10.8,68.2,6.4,53249.0,426.0,Haricot
Bongolava,823.0,12,0,24.5,32.2,18.9,13.2,22.1,96.6,5.7,63166.0,701.0,Riz_Bas_Fonds
Vatovavy-Fitovinany,370.0,11,0,54.5,26.3,29.7,21.3,24.0,98.6,6.4,37124.0,518.0,Riz_Bas_Fonds
Diana,5.0,11,0,30.8,26.1,20.5,24.4,25.2,60.5,6.6,58912.0,1196.0,Mangue
Anosy,92.0,6,1,19.2,22.4,16.0,15.2,26.5,28.0,7.0,41511.0,1190.0,Sorgho_CS
Analamanga,1465.0,4,0,23.4,27.6,19.5,16.3,23.7,55.7,7.5,44846.0,561.0,Haricot_CS
Diana,150.0,2,0,30.8,26.1,20.5,24.4,29.9,77.3,6.9,57177.0,682.0,Orange
Atsimo-Atsinanana,236.0,1,0,49.2,29.9,29.9,18.8,21.9,93.5,5.8,59367.0,1050.0,Riz_Bas_Fonds
SAVA,32.0,11,0,64.8,36.6,48.0,20.9,27.7,82.6,4.8,63727.0,501.0,Ananas
Atsinanana,271.0,1,0,60.7,39.8,32.2,16.4,21.7,48.6,5.6,50974.0,1181.0,Arachide
Melaky,201.0,6,1,26.0,23.7,21.3,15.3,28.3,85.3,6.5,64413.0,484.0,Riz_Decrue
Vakinankaratra,1497.0,7,1,36.1,33.3,28.2,15.2,19.3,74.1,6.3,42793.0,635.0,Pomme
Haute Matsiatra,1067.0,1,0,24.1,24.9,18.2,12.7,28.1,55.6,6.1,57662.0,819.0,Orange
Boeny,138.0,11,0,28.2,24.7,21.7,15.4,33.9,61.2,6.5,55362.0,534.0,Mangue
Anosy,436.0,7,1,19.2,22.4,16.0,15.2,26.6,69.3,6.4,34515.0,834.0,Oignon
Atsimo-Atsinanana,73.0,2,0,49.2,29.9,29.9,18.8,22.8,59.6,6.2,39730.0,1033.0,Maïs
Alaotra-Mangoro,924.0,12,0,16.6,25.9,13.3,14.3,29.5,61.4,6.6,46828.0,836.0,Maïs
Itasy,1472.0,4,0,28.4,33.2,25.5,14.3,17.9,71.2,6.2,26994.0,847.0,Fraise
Atsimo-Andrefana,318.0,7,1,25.3,27.9,10.9,14.1,22.8,27.3,5.7,50853.0,993.0,Sorgho_CS
Menabe,254.0,11,0,23.9,28.2,16.9,14.4,30.9,45.3,5.5,61276.0,1160.0,Mangue
Sofia,158.0,12,0,24.8,23.3,16.4,10.2,21.2,69.1,6.1,59009.0,569.0,Riz_Plateau
Diana,343.0,1,0,30.8,26.1,20.5,24.4,26.5,54.1,5.6,57232.0,911.0,Arachide
Itasy,1710.0,7,1,28.4,33.2,25.5,14.3,19.9,80.7,6.3,33094.0,723.0,Pomme_de_Terre
Sofia,420.0,4,0,24.8,23.3,16.4,10.2,25.2,53.4,6.0,44130.0,968.0,Oignon
Melaky,266.0,6,1,26.0,23.7,21.3,15.3,26.4,91.3,5.2,59482.0,613.0,Riz_Decrue
Melaky,265.0,12,0,26.0,23.7,21.3,15.3,18.5,58.1,6.6,51239.0,455.0,Arachide
Sofia,225.0,12,0,24.8,23.3,16.4,10.2,31.6,51.9,6.8,51226.0,940.0,Arachide
Atsimo-Andrefana,328.0,7,1,25.3,27.9,10.9,14.1,27.6,42.1,7.0,59930.0,897.0,Pois_du_Cap
Analamanga,1369.0,7,1,23.4,27.6,19.5,16.3,12.5,84.5,5.8,35335.0,1083.0,Pomme_de_Terre
Analamanga,1200.0,5,1,23.4,27.6,19.5,16.3,21.4,63.8,6.8,57780.0,1863.0,Tomate
Sofia,358.0,1,0,24.8,23.3,16.4,10.2,25.9,57.6,6.7,39034.0,1007.0,Arachide
Atsinanana,4.0,5,1,60.7,39.8,32.2,16.4,24.3,68.7,6.4,38228.0,1165.0,Tomate
Atsimo-Andrefana,54.0,12,0,25.3,27.9,10.9,14.1,20.4,57.5,6.8,42818.0,1498.0,Maïs
Sofia,474.0,5,1,24.8,23.3,16.4,10.2,31.6,91.8,6.2,47030.0,736.0,Riz_Decrue
Itasy,1489.0,1,0,28.4,33.2,25.5,14.3,20.0,61.5,6.3,55450.0,1026.0,Orange
Atsimo-Andrefana,386.0,6,1,25.3,27.9,10.9,14.1,27.8,59.1,6.6,45163.0,1091.0,Oignon
Atsinanana,240.0,11,0,60.7,39.8,32.2,16.4,25.5,84.9,5.4,48494.0,313.0,Litchi
Vakinankaratra,1745.0,7,1,36.1,33.3,28.2,15.2,21.3,69.2,6.3,52096.0,924.0,Pomme
Menabe,272.0,12,0,23.9,28.2,16.9,14.4,27.7,58.0,6.2,64413.0,543.0,Mangue
Sofia,217.0,12,0,24.8,23.3,16.4,10.2,25.5,67.0,6.3,49630.0,978.0,Haricot
Haute Matsiatra,1570.0,1,0,24.1,24.9,18.2,12.7,28.8,67.3,6.6,54058.0,425.0,Maïs
Atsinanana,346.0,1,0,60.7,39.8,32.2,16.4,31.5,84.0,6.7,45582.0,911.0,Banane
Amoron'i Mania,1177.0,7,1,31.1,27.9,19.6,13.9,15.6,83.9,5.8,30347.0,1576.0,Pomme_de_Terre
Amoron'i Mania,1560.0,5,1,31.1,27.9,19.6,13.9,17.6,70.1,5.7,32197.0,455.0,Pomme_de_Terre
Menabe,306.0,12,0,23.9,28.2,16.9,14.4,38.0,43.3,6.6,56048.0,799.0,Mangue
Atsimo-Andrefana,367.0,5,1,25.3,27.9,10.9,14.1,28.0,58.2,6.7,56322.0,846.0,Oignon
Androy,158.0,6,1,14.8,24.7,10.9,22.8,22.5,43.8,7.0,62024.0,1434.0,Sorgho_CS
Diana,6.0,5,1,30.8,26.1,20.5,24.4,25.7,62.8,7.0,47486.0,1185.0,Oignon
SAVA,481.0,9,1,64.8,36.6,48.0,20.9,31.8,79.7,4.6,50532.0,902.0,Ananas
Atsimo-Andrefana,6.0,6,1,25.3,27.9,10.9,14.1,32.2,25.9,6.5,63304.0,888.0,Sorgho_CS
Atsimo-Andrefana,49.0,7,1,25.3,27.9,10.9,14.1,25.8,51.9,7.4,56711.0,1022.0,Pois_du_Cap
Menabe,238.0,10,1,23.9,28.2,16.9,14.4,33.2,61.5,7.3,69603.0,851.0,Mangue
Alaotra-Mangoro,898.0,7,1,16.6,25.9,13.3,14.3,17.4,66.5,6.6,25257.0,546.0,Haricot_CS
Anosy,453.0,8,1,19.2,22.4,16.0,15.2,18.1,55.6,6.6,41759.0,959.0,Oignon
Boeny,151.0,2,0,28.2,24.7,21.7,15.4,15.1,74.9,6.3,31185.0,744.0,Haricot
Vakinankaratra,1498.0,7,1,36.1,33.3,28.2,15.2,19.6,70.0,6.3,36232.0,772.0,Pomme
Amoron'i Mania,1022.0,7,1,31.1,27.9,19.6,13.9,14.2,65.8,6.2,35039.0,1373.0,Pomme_de_Terre
Analamanga,1263.0,5,1,23.4,27.6,19.5,16.3,22.8,84.0,5.7,39538.0,428.0,Fraise
Vakinankaratra,1566.0,6,1,36.1,33.3,28.2,15.2,16.2,50.4,7.4,27381.0,676.0,Haricot_CS
Alaotra-Mangoro,830.0,12,0,16.6,25.9,13.3,14.3,25.9,96.7,5.5,58111.0,1011.0,Riz_Bas_Fonds
Haute Matsiatra,1092.0,7,1,24.1,24.9,18.2,12.7,21.5,77.3,5.7,43625.0,1469.0,Tomate
Amoron'i Mania,1019.0,6,1,31.1,27.9,19.6,13.9,15.5,76.3,6.0,42415.0,599.0,Pomme
Menabe,146.0,12,0,23.9,28.2,16.9,14.4,29.3,43.4,7.1,46698.0,1626.0,Sorgho
Haute Matsiatra,1368.0,1,0,24.1,24.9,18.2,12.7,20.9,57.5,6.6,54002.0,1197.0,Orange
Atsimo-Andrefana,120.0,12,0,25.3,27.9,10.9,14.1,16.3,68.4,6.3,35158.0,900.0,Arachide
Bongolava,994.0,6,1,24.5,32.2,18.9,13.2,20.0,73.6,6.2,56702.0,813.0,Tomate
Bongolava,1074.0,11,0,24.5,32.2,18.9,13.2,25.5,82.9,5.8,50745.0,1083.0,Banane
Sofia,437.0,11,0,24.8,23.3,16.4,10.2,31.6,53.2,6.6,54705.0,715.0,Sorgho
Vakinankaratra,1655.0,6,1,36.1,33.3,28.2,15.2,20.7,67.1,6.5,45001.0,964.0,Pomme
Sofia,548.0,12,0,24.8,23.3,16.4,10.2,28.3,74.1,6.2,53771.0,648.0,Riz_Plateau
Analamanga,1116.0,11,0,23.4,27.6,19.5,16.3,23.4,87.5,5.1,63361.0,379.0,Riz_Bas_Fonds
Haute Matsiatra,1505.0,7,1,24.1,24.9,18.2,12.7,15.5,66.6,5.6,35463.0,1698.0,Pomme_de_Terre
Haute Matsiatra,1047.0,5,1,24.1,24.9,18.2,12.7,21.4,67.6,7.2,52172.0,400.0,Haricot_CS
Menabe,57.0,6,1,23.9,28.2,16.9,14.4,25.1,82.5,5.2,64217.0,1362.0,Riz_Decrue
Anosy,528.0,6,1,19.2,22.4,16.0,15.2,24.3,28.0,5.9,55889.0,1827.0,Sorgho_CS
SAVA,19.0,10,1,64.8,36.6,48.0,20.9,20.3,74.1,5.2,61539.0,618.0,Ananas
Atsinanana,387.0,11,0,60.7,39.8,32.2,16.4,33.3,91.4,6.5,43453.0,1062.0,Banane
Boeny,167.0,11,0,28.2,24.7,21.7,15.4,27.5,85.6,6.0,47150.0,601.0,Riz_Bas_Fonds
Vakinankaratra,1921.0,5,1,36.1,33.3,28.2,15.2,21.0,49.1,7.2,37473.0,744.0,Haricot_CS
Itasy,1495.0,1,0,28.4,33.2,25.5,14.3,24.8,78.1,6.1,43829.0,998.0,Orange
Menabe,359.0,12,0,23.9,28.2,16.9,14.4,24.5,52.4,7.5,67805.0,1057.0,Mangue
Haute Matsiatra,1262.0,2,0,24.1,24.9,18.2,12.7,22.0,64.2,7.1,48368.0,864.0,Orange
Vakinankaratra,1914.0,7,1,36.1,33.3,28.2,15.2,12.1,65.6,5.6,27981.0,1116.0,Pomme_de_Terre
Boeny,222.0,11,0,28.2,24.7,21.7,15.4,26.3,40.6,5.8,51573.0,880.0,Mangue
Bongolava,943.0,11,0,24.5,32.2,18.9,13.2,18.6,68.4,6.7,34909.0,933.0,Haricot
Atsinanana,347.0,12,0,60.7,39.8,32.2,16.4,25.3,85.0,6.2,59500.0,855.0,Litchi
Androy,269.0,6,1,14.8,24.7,10.9,22.8,22.4,25.0,5.5,63635.0,1490.0,Sorgho_CS
Vakinankaratra,1270.0,11,0,36.1,33.3,28.2,15.2,24.2,61.5,5.8,59246.0,577.0,Riz_Plateau
Anosy,238.0,12,0,19.2,22.4,16.0,15.2,26.2,31.5,7.2,57486.0,939.0,Sorgho
Boeny,43.0,6,1,28.2,24.7,21.7,15.4,29.6,87.2,5.2,54359.0,1543.0,Riz_Decrue
Anosy,354.0,7,1,19.2,22.4,16.0,15.2,30.6,49.1,6.7,40129.0,602.0,Sorgho_CS
Itasy,1787.0,2,0,28.4,33.2,25.5,14.3,24.5,78.7,6.7,53027.0,1037.0,Orange
Bongolava,1350.0,6,1,24.5,32.2,18.9,13.2,18.8,71.0,6.2,44744.0,722.0,Tomate
Sofia,26.0,12,0,24.8,23.3,16.4,10.2,34.6,99.6,6.5,47133.0,438.0,Riz_Bas_Fonds
Anosy,207.0,6,1,19.2,22.4,16.0,15.2,25.4,57.9,6.4,38658.0,1022.0,Oignon
Vakinankaratra,1763.0,7,1,36.1,33.3,28.2,15.2,13.7,82.5,6.1,33668.0,610.0,Pomme_de_Terre
Boeny,149.0,12,0,28.2,24.7,21.7,15.4,29.6,42.7,7.0,66217.0,901.0,Mangue
Alaotra-Mangoro,1153.0,1,0,16.6,25.9,13.3,14.3,28.8,53.6,6.5,53428.0,732.0,Maïs
Itasy,1172.0,1,0,28.4,33.2,25.5,14.3,28.6,71.9,6.8,65793.0,1219.0,Orange
Anosy,155.0,6,1,19.2,22.4,16.0,15.2,31.1,29.7,6.5,55743.0,1982.0,Sorgho_CS
Itasy,1087.0,4,0,28.4,33.2,25.5,14.3,24.2,74.2,6.2,33441.0,708.0,Fraise
Atsimo-Andrefana,30.0,7,1,25.3,27.9,10.9,14.1,25.8,45.9,7.3,42937.0,758.0,Pois_du_Cap
Atsimo-Atsinanana,434.0,12,0,49.2,29.9,29.9,18.8,20.6,91.3,5.4,51207.0,1321.0,Riz_Bas_Fonds
Boeny,168.0,10,1,28.2,24.7,21.7,15.4,34.7,58.4,6.0,66245.0,620.0,Mangue
Itasy,1186.0,2,0,28.4,33.2,25.5,14.3,22.5,57.4,6.9,42574.0,786.0,Orange
Amoron'i Mania,1728.0,5,1,31.1,27.9,19.6,13.9,20.8,73.7,6.3,43778.0,1010.0,Pomme_de_Terre
Amoron'i Mania,1004.0,6,1,31.1,27.9,19.6,13.9,12.6,66.0,5.7,36434.0,724.0,Pomme
Haute Matsiatra,1262.0,2,0,24.1,24.9,18.2,12.7,18.6,72.5,6.2,43870.0,1207.0,Orange
Menabe,101.0,12,0,23.9,28.2,16.9,14.4,33.2,92.6,6.4,51565.0,1347.0,Riz_Bas_Fonds
Atsimo-Andrefana,211.0,5,1,25.3,27.9,10.9,14.1,32.7,31.4,5.8,45995.0,1056.0,Sorgho_CS
Anosy,72.0,7,1,19.2,22.4,16.0,15.2,29.1,29.4,7.2,49029.0,1195.0,Sorgho_CS
Atsimo-Andrefana,397.0,6,1,25.3,27.9,10.9,14.1,23.7,55.5,6.3,53151.0,1896.0,Pois_du_Cap
Atsinanana,356.0,12,0,60.7,39.8,32.2,16.4,22.0,78.7,6.4,65846.0,586.0,Litchi
Vakinankaratra,1698.0,6,1,36.1,33.3,28.2,15.2,20.4,64.1,6.6,36671.0,946.0,Pomme
Vakinankaratra,1980.0,7,1,36.1,33.3,28.2,15.2,16.5,62.2,6.7,43073.0,809.0,Pomme
Diana,410.0,1,0,30.8,26.1,20.5,24.4,26.2,72.9,7.2,43253.0,656.0,Orange
Diana,360.0,12,0,30.8,26.1,20.5,24.4,35.7,54.0,5.5,50374.0,1182.0,Mangue
Itasy,1211.0,5,1,28.4,33.2,25.5,14.3,16.7,75.2,5.8,34234.0,777.0,Fraise
Androy,70.0,5,1,14.8,24.7,10.9,22.8,31.0,35.6,7.1,55005.0,1043.0,Sorgho_CS
Atsimo-Andrefana,276.0,12,0,25.3,27.9,10.9,14.1,28.5,75.6,6.9,40446.0,682.0,Haricot
Atsinanana,90.0,9,1,60.7,39.8,32.2,16.4,23.5,80.2,4.6,56111.0,876.0,Ananas
Betsiboka,417.0,1,0,27.9,23.7,28.2,10.9,25.3,64.9,6.8,59204.0,835.0,Arachide
Bongolava,1045.0,6,1,24.5,32.2,18.9,13.2,23.7,48.0,6.0,38585.0,954.0,Haricot_CS
Analamanga,1101.0,4,0,23.4,27.6,19.5,16.3,17.7,54.2,6.5,29240.0,375.0,Haricot_CS
Itasy,1352.0,5,1,28.4,33.2,25.5,14.3,17.4,70.9,6.2,41820.0,853.0,Fraise
Anosy,336.0,8,1,19.2,22.4,16.0,15.2,20.3,58.9,7.0,55999.0,1188.0,Oignon
Atsinanana,110.0,9,1,60.7,39.8,32.2,16.4,25.6,69.2,4.9,45391.0,653.0,Ananas
Diana,52.0,10,1,30.8,26.1,20.5,24.4,37.7,44.5,7.2,55903.0,474.0,Mangue
Atsinanana,260.0,12,0,60.7,39.8,32.2,16.4,31.5,75.7,5.8,45979.0,1220.0,Banane
Haute Matsiatra,1089.0,5,1,24.1,24.9,18.2,12.7,21.8,63.3,5.9,46139.0,1580.0,Tomate
Menabe,374.0,10,1,23.9,28.2,16.9,14.4,31.8,49.7,6.4,75675.0,808.0,Mangue
Haute Matsiatra,1389.0,1,0,24.1,24.9,18.2,12.7,18.9,55.7,6.9,47038.0,1007.0,Orange
Itasy,1662.0,12,0,28.4,33.2,25.5,14.3,27.3,61.4,5.6,61975.0,715.0,Riz_Plateau
Analanjirofo,225.0,12,0,54.8,35.0,29.5,18.5,30.2,71.4,6.4,42569.0,696.0,Litchi
Androy,150.0,6,1,14.8,24.7,10.9,22.8,22.6,45.9,7.4,58491.0,1168.0,Sorgho_CS
Diana,405.0,12,0,30.8,26.1,20.5,24.4,32.3,63.8,5.9,50029.0,609.0,Riz_Plateau
Analanjirofo,49.0,11,0,54.8,35.0,29.5,18.5,32.0,70.5,5.2,43789.0,397.0,Litchi
Haute Matsiatra,1417.0,2,0,24.1,24.9,18.2,12.7,19.7,72.6,6.4,63262.0,753.0,Orange
Melaky,84.0,11,0,26.0,23.7,21.3,15.3,27.3,86.4,5.2,49985.0,1394.0,Riz_Bas_Fonds
Atsimo-Andrefana,135.0,7,1,25.3,27.9,10.9,14.1,25.1,43.3,6.1,41093.0,1039.0,Sorgho_CS
Bongolava,1249.0,12,0,24.5,32.2,18.9,13.2,34.7,91.4,6.8,58438.0,928.0,Banane
Menabe,386.0,11,0,23.9,28.2,16.9,14.4,29.1,31.5,5.6,48651.0,579.0,Sorgho
Alaotra-Mangoro,980.0,1,0,16.6,25.9,13.3,14.3,29.9,59.1,6.6,62016.0,1186.0,Maïs
Vakinankaratra,1499.0,5,1,36.1,33.3,28.2,15.2,18.0,79.6,6.2,24229.0,890.0,Pomme_de_Terre
Atsinanana,155.0,9,1,60.7,39.8,32.2,16.4,26.8,63.8,4.6,50828.0,527.0,Ananas
Boeny,43.0,6,1,28.2,24.7,21.7,15.4,26.9,89.7,5.7,47308.0,1359.0,Riz_Decrue
Amoron'i Mania,1211.0,6,1,31.1,27.9,19.6,13.9,19.5,70.1,6.5,54615.0,791.0,Pomme
